@T,table,,,,,,,,
Created,2018-11-09 16:31,,,,,,,,
Author,HortonMachine library,,,,,,,,
@H,timestamp,value_1,value_1,value_1,value_1,value_1,value_1,value_1,value_1
ID,,1,1,1,1,1,1,1,1
Type,Date,Double,Double,Double,Double,Double,Double,Double,Double
Format,yyyy-MM-dd HH:mm,Latent Heat Shadow (W/m2),Latent Heat Shadow (mm),Latent Heat Sun (W/m2),Latent Heat Sun (mm),ET FAO (W/m2),ET FAO (mm),ET PT (W/m2),ET PT (mm)
,2018-05-20 19:00,18.8565257911,0.0277075481,1.7669270701,0.002596301,0.0334720725,4.91834534811377E-05,0,0
,2018-05-20 20:00,0,0,0,0,0.0342045607,5.02597626797353E-05,0,0
,2018-05-20 21:00,0,0,0,0,0.0153130108,2.25007505922895E-05,0,0
,2018-05-20 22:00,0,0,0,0,0.0054668478,8.03291927688337E-06,0,0
,2018-05-20 23:00,0,0,0,0,0.0087355133,1.28358562286293E-05,0,0
,2018-05-21 00:00,0,0,0,0,-0.0007652559,-1.12445760999737E-06,0,0
,2018-05-21 01:00,0,0,0,0,-0.0030974709,-4.55138576636611E-06,0,0
,2018-05-21 02:00,0,0,0,0,-0.0050011991,-7.34870070482702E-06,0,0
,2018-05-21 03:00,0,0,0,0,-0.0055434183,-8.14543094427946E-06,0,0
,2018-05-21 04:00,0,0,0,0,-0.0013159935,-1.93370468179397E-06,0,0
,2018-05-21 05:00,2.44293337,0.0035896164,4.3371836207,0.0063730045,-0.0017217674,-2.52994391536362E-06,0,0
,2018-05-21 06:00,5.7326497659,0.0084234854,13.1469889935,0.0193180246,1.5173031106,0.0022295066,3.7589446159,0.0055233472
,2018-05-21 07:00,7.7838303517,0.011437465,23.6342055833,0.0347278123,10.1313543179,0.014886888,25.0614304112,0.036824959
,2018-05-21 08:00,23.6479571902,0.0347480187,70.9200983015,0.104209124,28.5530082704,0.0419554407,71.5050643695,0.105068666
,2018-05-21 09:00,25.919520582,0.0380858262,52.6409320874,0.077349941,14.0485324673,0.0206427416,35.6258607883,0.0523482036
,2018-05-21 10:00,35.9512640354,0.0528263472,62.0631904152,0.091194892,12.952819076,0.0190327137,33.0970172861,0.0486323519
,2018-05-21 11:00,44.9272123499,0.0660154957,75.9355456461,0.1115787609,12.7228833997,0.0186948491,32.0243143973,0.0470561354
,2018-05-21 12:00,23.5390408168,0.0345879783,56.6622362981,0.0832587962,16.640505603,0.0244513552,43.0875117813,0.0633122622
,2018-05-21 13:00,24.1928491653,0.0355486763,52.7029490449,0.077441068,14.727035807,0.0216397261,38.8089656572,0.0570254189
,2018-05-21 14:00,33.2583408906,0.0488693989,106.8611780958,0.1570205066,46.1314789454,0.0677850303,117.4468615222,0.1725749802
,2018-05-21 15:00,69.6426775077,0.1023320976,115.2110706784,0.1692897365,31.1125126333,0.0457163451,79.7687760673,0.1172112628
,2018-05-21 16:00,44.3613371466,0.0651840056,40.7508923311,0.0598788622,0.1661899539,0.0002441975,0,0
,2018-05-21 17:00,52.5342782353,0.0771932252,39.396500229,0.057888735,1.6237266849,0.0023858841,3.7933416865,0.0055738898
,2018-05-21 18:00,41.6065149763,0.0611361036,19.7497832694,0.0290200897,0.100357432,0.000147464,0,0
,2018-05-21 19:00,27.2950273584,0.040106979,3.6852280186,0.0054150289,0.0558176612,8.20177878980104E-05,0,0
,2018-05-21 20:00,0,0,0,0,0.0307857529,4.52362083645314E-05,0,0
,2018-05-21 21:00,0,0,0,0,0.0135479485,1.99071896710117E-05,0,0
,2018-05-21 22:00,0,0,0,0,0.0073716034,1.08317437280448E-05,0,0
,2018-05-21 23:00,0,0,0,0,0.0127854009,1.87867115476879E-05,0,0
,2018-05-22 00:00,0,0,0,0,0.0078640479,1.15553356953838E-05,0,0
,2018-05-22 01:00,0,0,0,0,0.0156628658,2.30148232140527E-05,0,0
,2018-05-22 02:00,0,0,0,0,0.0199714673,2.93458295656189E-05,0,0
,2018-05-22 03:00,0,0,0,0,0.0052295257,7.68420097779241E-06,0,0
,2018-05-22 04:00,0,0,0,0,0.0187639639,2.75715388344346E-05,0,0
,2018-05-22 05:00,21.9605517341,0.0322685658,1.9259155094,0.0028299167,0.0231078889,3.39544489859194E-05,0,0
,2018-05-22 06:00,8.1905590343,0.0120351072,6.4089185802,0.0094171865,0.0006887867,1.0120948092806E-06,0,0
,2018-05-22 07:00,7.6851205628,0.0112924221,8.8503317941,0.0130045692,-4.4303069711989E-05,-6.50983881482287E-08,0,0
,2018-05-22 08:00,7.0956557383,0.0104262697,16.1601631041,0.0237455458,0.2708643738,0.0003980048,0.6720582149,0.0009875141
