@T,table,,,,
Created,2018-11-09 16:31,,,,
Author,HortonMachine library,,,,
@H,timestamp,value_1,value_1,val_1,val_1
ID,,1,1,1,1
Type,Date,Double,Double,,
Format,yyyy-MM-dd HH:mm,LeafTemperature Sun,LeafTemperature Shadow,Air Temperature (°C),Air Temperature (K)
,2018-05-22 19:00,287.4529986068,286.7469775164,13.7916666667,286.7916666667
,2018-05-22 20:00,286.0736135141,286.0583333333,13.0583333333,286.0583333333
,2018-05-22 21:00,285.8314095297,285.8083333333,12.8083333333,285.8083333333
,2018-05-22 22:00,285.7333080466,285.7,12.7,285.7
,2018-05-22 23:00,285.4223308391,285.3666666667,12.3666666667,285.3666666667
,2018-05-23 00:00,285.2414575939,285.175,12.175,285.175
,2018-05-23 01:00,285.1646066077,285.1,12.1,285.1
,2018-05-23 02:00,285.1787080962,285.1,12.1,285.1
,2018-05-23 03:00,285.1024297661,285.0333333333,12.0333333333,285.0333333333
,2018-05-23 04:00,284.5755929482,284.5,11.5,284.5
,2018-05-23 05:00,308.48411313,284.8574262964,11.1583333333,284.1583333333
,2018-05-23 06:00,307.2019322233,287.3689366373,13.2916666667,286.2916666667
,2018-05-23 07:00,300.8484212673,289.5156260888,16.0833333333,289.0833333333
,2018-05-23 08:00,300.6001832287,291.1498040199,17.9416666667,290.9416666667
,2018-05-23 09:00,298.4627314797,291.7456627175,18.725,291.725
,2018-05-23 10:00,295.4793350736,291.444647917,18.6,291.6
,2018-05-23 11:00,294.3506893041,291.3098233974,18.5166666667,291.5166666667
,2018-05-23 12:00,295.7508763393,291.919899382,19.15,292.15
,2018-05-23 13:00,294.6864153249,291.3653725884,18.6333333333,291.6333333333
,2018-05-23 14:00,298.1624429022,292.5926060246,20.025,293.025
,2018-05-23 15:00,295.1115844366,292.0713650449,19.4333333333,292.4333333333
,2018-05-23 16:00,295.116812548,291.1580539778,18.1083333333,291.1083333333
,2018-05-23 17:00,295.9613999045,290.9505650835,17.625,290.625
,2018-05-23 18:00,296.5232720626,290.7630822804,17.775,290.775
,2018-05-23 19:00,291.6703073907,289.3327576216,16.5833333333,289.5833333333
,2018-05-23 20:00,287.7653308225,287.9416666667,14.9416666667,287.9416666667
,2018-05-23 21:00,287.3551380558,287.525,14.525,287.525
,2018-05-23 22:00,287.2181874519,287.2666666667,14.2666666667,287.2666666667
,2018-05-23 23:00,286.9589071765,286.9416666667,13.9416666667,286.9416666667
,2018-05-24 00:00,286.7630468435,286.725,13.725,286.725
,2018-05-24 01:00,286.6015542852,286.55,13.55,286.55
,2018-05-24 02:00,286.5588130254,286.5166666667,13.5166666667,286.5166666667
,2018-05-24 03:00,286.3483216748,286.2916666667,13.2916666667,286.2916666667
,2018-05-24 04:00,286.2585201317,286.1916666667,13.1916666667,286.1916666667
,2018-05-24 05:00,290.2650065345,286.6398035189,13.2916666667,286.2916666667
,2018-05-24 06:00,294.6184623533,287.9939376491,13.95,286.95
,2018-05-24 07:00,295.596529419,289.0879532516,14.6333333333,287.6333333333
,2018-05-24 08:00,294.2508553997,289.3948484219,15.325,288.325
,2018-05-24 09:00,299.5817178773,291.312608265,17.35,290.35
,2018-05-24 10:00,298.1672826213,292.4327023126,19.2,292.2
,2018-05-24 11:00,294.6432134653,291.7053919548,18.4333333333,291.4333333333
,2018-05-24 12:00,293.0482460312,291.1545122401,17.6166666667,290.6166666667
,2018-05-24 13:00,293.8866446396,290.099514703,16.3333333333,289.3333333333
,2018-05-24 14:00,298.0105458348,291.6483932502,17.8583333333,290.8583333333
,2018-05-24 15:00,303.3310835101,293.7850765318,20.5166666667,293.5166666667
,2018-05-24 16:00,302.8286656305,293.5969542836,20.175,293.175
,2018-05-24 17:00,294.6912350724,290.9749457447,17.7916666667,290.7916666667
,2018-05-24 18:00,292.3075302883,289.7349719018,16.6166666667,289.6166666667
,2018-05-24 19:00,289.2576578342,288.0728026146,15.225,288.225
,2018-05-24 20:00,287.1081440775,287.25,14.25,287.25
,2018-05-24 21:00,286.4673336698,286.5416666667,13.5416666667,286.5416666667
