@T,table,,,,,,
Created,2018-11-09 13:52,,,,,,
Author,HortonMachine library,,,,,,
@H,timestamp,value_1,,,value_1,,
ID,,1,,,1,,
Type,Date,Double,,,Double,,
Format,yyyy-MM-dd HH:mm,,,,,,
,2018-05-21 11:00,0.6337205856,0.6337205856,0.6337205856,323.3772378847,0.3233772379,0.2049308126
,2018-05-21 12:00,0.6018409994,0.6018409994,0.6018409994,355.8793421578,0.3558793422,0.214182779
,2018-05-21 13:00,0.6034949471,0.6034949471,0.6034949471,345.4067238245,0.3454067238,0.2084512125
,2018-05-21 14:00,1.0194103235,1.0194103235,1.0194103235,626.8576701264,0.6268576701,0.6390251803
,2018-05-21 15:00,0.9153786497,0.9153786497,0.9153786497,467.6018048265,0.4676018048,0.4280327087
,2018-05-21 16:00,0.3970581462,0.3970581462,0.3970581462,166.5791446399,0.1665791446,0.0661416064
,2018-05-21 17:00,0.4074802145,0.4074802145,0.4074802145,168.4340509933,0.168434051,0.0686335432
,2018-05-21 18:00,0.2613081488,0.2613081488,0.2613081488,98.6888323523,0.0986888324,0.0257881961
,2018-05-21 19:00,0.0941003018,0.0941003018,0.0941003018,10.2333333333,0.0102333333,0.0009629598
,2018-05-21 20:00,0.0555282664,0.0555282664,0,0,0,0
,2018-05-21 21:00,0.0376921442,0.0376921442,0,0,0,0
,2018-05-21 22:00,0.0261604077,0.0261604077,0,0,0,0
,2018-05-21 23:00,0.0303346873,0.0303346873,0,0,0,0
,2018-05-22 00:00,0.0308298606,0.0308298606,0,0,0,0
,2018-05-22 01:00,0.0468444187,0.0468444187,0,0,0,0
,2018-05-22 02:00,0.0470644037,0.0470644037,0,0,0,0
,2018-05-22 03:00,0.0394253662,0.0394253662,0,0,0,0
,2018-05-22 04:00,0.0559005643,0.0559005643,0,0,0,0
,2018-05-22 05:00,0.1201569079,0.1201569079,0.1201569079,48.3111426707,0.0483111427,0.0058049175
,2018-05-22 06:00,0.147731075,0.147731075,0.147731075,97.3510289806,0.097351029,0.0143817722
,2018-05-22 07:00,0.1654172598,0.1654172598,0.1654172598,112.9848516008,0.1129848516,0.0186896445
,2018-05-22 08:00,0.2533517533,0.2533517533,0.2533517533,174.1042593989,0.1741042594,0.0441096194
,2018-05-22 09:00,0.3437742074,0.3437742074,0.3437742074,232.9888891699,0.2329888892,0.0800955707
,2018-05-22 10:00,0.5488961839,0.5488961839,0.5488961839,360.5329723311,0.3605329723,0.1978951727
,2018-05-22 11:00,0.555820154,0.555820154,0.555820154,362.5392823638,0.3625392824,0.2015066398
,2018-05-22 12:00,0.5121413399,0.5121413399,0.5121413399,325.370134778,0.3253701348,0.1666354968
,2018-05-22 13:00,0.4377885147,0.4377885147,0.4377885147,265.3313069015,0.2653313069,0.1161589988
,2018-05-22 14:00,0.4692116627,0.4692116627,0.4692116627,299.2122991818,0.2992122992,0.1403939004
,2018-05-22 15:00,0.3399260237,0.3399260237,0.3399260237,208.2098327652,0.2082098328,0.0707759405
,2018-05-22 16:00,0.273178244,0.273178244,0.273178244,172.7688864442,0.1727688864,0.047196701
,2018-05-22 17:00,0.2415183332,0.2415183332,0.2415183332,154.6381551865,0.1546381552,0.0373479495
,2018-05-22 18:00,0.1286894833,0.1286894833,0.1286894833,80.5899185861,0.0805899186,0.010371075
,2018-05-22 19:00,0.0144029879,0.0144029879,0.0144029879,4.425,0.004425,6.37332212557733E-05
,2018-05-22 20:00,-0.0025631623,0,0,0,0,0
,2018-05-22 21:00,-0.003542557,0,0,0,0,0
,2018-05-22 22:00,-0.0058054139,0,0,0,0,0
,2018-05-22 23:00,-0.0119632744,0,0,0,0,0
,2018-05-23 00:00,-0.010738788,0,0,0,0,0
,2018-05-23 01:00,-9999,0,0,0,0,0
,2018-05-23 02:00,-0.0112640766,0,0,0,0,0
,2018-05-23 03:00,-9999,0,0,0,0,0
,2018-05-23 04:00,-0.0093164801,0,0,1.525,0.001525,0
,2018-05-23 05:00,0.1271699287,0.1271699287,0.1271699287,95.3794371657,0.0953794372,0.0121293962
,2018-05-23 06:00,0.3993447429,0.3993447429,0.3993447429,281.143717582,0.2811437176,0.1122732656
,2018-05-23 07:00,0.8715511836,0.8715511836,0.8715511836,535.1267059468,0.5351267059,0.4663903139
,2018-05-23 08:00,1.1669948374,1.1669948374,1.1669948374,675.8355180125,0.675835518,0.7886965605
,2018-05-23 09:00,1.1037447942,1.1037447942,1.1037447942,607.0895071783,0.6070895072,0.6700718832
,2018-05-23 10:00,0.9885622226,0.9885622226,0.9885622226,487.265115268,0.4872651153,0.4816918853
,2018-05-23 11:00,0.8426481736,0.8426481736,0.8426481736,394.7739882463,0.3947739882,0.3326555802
,2018-05-23 12:00,0.8521542357,0.8521542357,0.8521542357,425.826443297,0.4258264433,0.3628698073
,2018-05-23 13:00,0.9669591301,0.9669591301,0.9669591301,451.6914360216,0.451691436,0.4367671581
,2018-05-23 14:00,1.0425616283,1.0425616283,1.0425616283,532.2649751725,0.5322649752,0.5549190392
,2018-05-23 15:00,0.7325030989,0.7325030989,0.7325030989,324.8396149876,0.324839615,0.2379460246
,2018-05-23 16:00,0.4491612812,0.4491612812,0.4491612812,232.0566861368,0.2320566861,0.1042308785
,2018-05-23 17:00,0.3085291437,0.3085291437,0.3085291437,168.645028848,0.1686450288,0.0520319063
,2018-05-23 18:00,0.2562789981,0.2562789981,0.2562789981,129.9664591197,0.1299664591,0.0333076739
,2018-05-23 19:00,0.0526287637,0.0526287637,0.0526287637,12.9666666667,0.0129666667,0.0006824196
,2018-05-23 20:00,0.0316668964,0.0316668964,0,0,0,0
,2018-05-23 21:00,0.0274897319,0.0274897319,0,0,0,0
,2018-05-23 22:00,0.0091413704,0.0091413704,0,0,0,0
,2018-05-23 23:00,-0.002611974,0,0,0,0,0
,2018-05-24 00:00,-0.005668852,0,0,0,0,0
,2018-05-24 01:00,-0.00948313,0,0,0,0,0
,2018-05-24 02:00,-0.0071372309,0,0,0,0,0
,2018-05-24 03:00,-0.0078042156,0,0,0,0,0
,2018-05-24 04:00,-0.0099005518,0,0,0,0,0
,2018-05-24 05:00,-9999,0,0,59.0406762882,0.0590406763,0
,2018-05-24 06:00,0.1682178309,0.1682178309,0.1682178309,121.8258965633,0.1218258966,0.0204932881
,2018-05-24 07:00,0.2270685762,0.2270685762,0.2270685762,159.2062690313,0.159206269,0.0361507408
,2018-05-24 08:00,0.3253311617,0.3253311617,0.3253311617,222.9191218281,0.2229191218,0.0725225369
,2018-05-24 09:00,0.6690119894,0.6690119894,0.6690119894,433.6235573266,0.4336235573,0.2900993588
,2018-05-24 10:00,0.8235246352,0.8235246352,0.8235246352,475.7248736891,0.4757248737,0.3917711531
,2018-05-24 11:00,0.6051847527,0.6051847527,0.6051847527,340.0492292012,0.3400492292,0.2057926087
,2018-05-24 12:00,0.3671437971,0.3671437971,0.3671437971,217.1732644232,0.2171732644,0.0797338169
,2018-05-24 13:00,0.5404210126,0.5404210126,0.5404210126,356.3642634612,0.3563642635,0.1925867361
,2018-05-24 14:00,0.7048432494,0.7048432494,0.7048432494,454.8881852801,0.4548881853,0.3206248666
,2018-05-24 15:00,1.1063700938,1.1063700938,1.1063700938,671.9273869304,0.6719273869,0.7434003661
,2018-05-24 16:00,0.632359883,0.632359883,0.632359883,377.6677470934,0.3776677471,0.2388219324
,2018-05-24 17:00,0.3377867599,0.3377867599,0.3377867599,184.6127119334,0.1846127119,0.0623597298
,2018-05-24 18:00,0.1711362019,0.1711362019,0.1711362019,88.031173796,0.0880311738,0.0150653207
,2018-05-24 19:00,0.0354132538,0.0354132538,0.0354132538,7.7833333333,0.0077833333,0.0002756332
,2018-05-24 20:00,0.0289805113,0.0289805113,0,0,0,0
,2018-05-24 21:00,0.0127871984,0.0127871984,0,0,0,0
,2018-05-24 22:00,0.0101275908,0.0101275908,0,0,0,0
,2018-05-24 23:00,0.008872513,0.008872513,0,0,0,0
,2018-05-25 00:00,0.0061442082,0.0061442082,0,0,0,0
,2018-05-25 01:00,0.0100018556,0.0100018556,0,0,0,0
,2018-05-25 02:00,0.0025728031,0.0025728031,0,0,0,0
,2018-05-25 03:00,0.0018886488,0.0018886488,0,0,0,0
,2018-05-25 04:00,0.0018982037,0.0018982037,0.0018982037,0.9166666667,0.0009166667,0.00000174
,2018-05-25 05:00,0.0867556264,0.0867556264,0.0867556264,59.0803037733,0.0590803038,0.0051255488
,2018-05-25 06:00,0.3133588499,0.3133588499,0.3133588499,198.3069936595,0.1983069937,0.0621412515
,2018-05-25 07:00,0.8925166269,0.8925166269,0.8925166269,519.4331804179,0.5194331804,0.4636027501
,2018-05-25 08:00,1.282319001,1.282319001,1.282319001,700.9791639134,0.7009791639,0.8988789012
,2018-05-25 09:00,1.5792337572,1.5792337572,1.5792337572,855.7543750898,0.8557543751,1.351436197
,2018-05-25 10:00,1.8817975552,1.8817975552,1.8817975552,980.9023192367,0.9809023192,1.8458595862
,2018-05-25 11:00,2.0502726211,2.0502726211,2.0502726211,1078.8718723531,1.0788718724,2.2119814616
,2018-05-25 12:00,1.9062629744,1.9062629744,1.9062629744,946.793853284,0.9467938533,1.8048380669
,2018-05-25 13:00,1.5523859778,1.5523859778,1.5523859778,708.128220214,0.7081282202,1.0992883196
,2018-05-25 14:00,1.1465813207,1.1465813207,1.1465813207,503.2746432779,0.5032746433,0.5770453052
,2018-05-25 15:00,1.5962700571,1.5962700571,1.5962700571,790.1586616674,0.7901586617,1.2613066119
,2018-05-25 16:00,1.2349208966,1.2349208966,1.2349208966,543.4499785605,0.5434499786,0.6711177348
,2018-05-25 17:00,0.6339674193,0.6339674193,0.6339674193,207.0580006255,0.2070580006,0.1312680263
,2018-05-25 18:00,0.2937623491,0.2937623491,0.2937623491,90.6733229906,0.090673323,0.0266364084
,2018-05-25 19:00,0.1317792609,0.1317792609,0.1317792609,15.1,0.0151,0.0019898668
,2018-05-25 20:00,0.0881049116,0.0881049116,0,0,0,0
,2018-05-25 21:00,0.0863913173,0.0863913173,0,0,0,0
,2018-05-25 22:00,0.0861821664,0.0861821664,0,0,0,0
,2018-05-25 23:00,0.0800643779,0.0800643779,0,0,0,0
,2018-05-26 00:00,0.1421453023,0.1421453023,0,0,0,0
,2018-05-26 01:00,0.1314963218,0.1314963218,0,0,0,0
,2018-05-26 02:00,0.0478037537,0.0478037537,0,0,0,0
