@T,table,,,,,,,,,,rh
Created,2018-11-09 13:59,,,,,,,,,,val_1
Author,HortonMachine library,,,,,,,,,,1
@H,timestamp,value_1,value_1,,,,,,,,82.56666667
ID,,1,1,,,,,rad,wind,pres,82.95
Type,Date,Double,Double,,val_1,,,val_1,val_1,val_1,84.1
Format,yyyy-MM-dd HH:mm,,,,1,,,1,1,1,85.40833333
,2018-05-19 00:00,284.4166666667,281.7645649056,-2.6521017611,11.4166666667,284.4166666667,2.6521017611,0,0.125,94.2908333333,86.39166667
,2018-05-19 01:00,284.2083333333,281.61817354,-2.5901597933,11.2083333333,284.2083333333,2.5901597933,0,0.15,94.2783333333,85.925
,2018-05-19 02:00,283.875,281.4680181296,-2.4069818704,10.875,283.875,2.4069818704,0,0.0333333333,94.2666666667,84.96666667
,2018-05-19 03:00,283.5666666667,281.361081955,-2.2055847117,10.5666666667,283.5666666667,2.2055847117,0,0.075,94.2308333333,68.05
,2018-05-19 04:00,282.8083333333,280.7615182918,-2.0468150415,9.8083333333,282.8083333333,2.0468150415,0.4583333333,0.1833333333,94.2316666667,61.98333333
,2018-05-19 05:00,280.8343990257,280.8691757716,0.0347767459,9.95,282.95,2.0808242284,22.5916666667,0.1,94.2583333333,57.125
,2018-05-19 06:00,281.1898202353,281.2067655545,0.0169453192,10.4583333333,283.4583333333,2.2515677788,85.3083333333,0.2166666667,94.295,51.95
,2018-05-19 07:00,283.4087585309,283.4312895678,0.0225310369,15.4083333333,288.4083333333,4.9770437655,409.8583333333,0.4583333333,94.2958333333,54
,2018-05-19 08:00,283.8237391735,283.8369861618,0.0132469883,16.8333333333,289.8333333333,5.9963471715,391.25,0.5166666667,94.2991666667,53.99166667
,2018-05-19 09:00,282.9196817473,282.924221347,0.0045395997,16.6916666667,289.6916666667,6.7674453197,180.9666666667,0.6583333333,94.3066666667,51.53333333
,2018-05-19 10:00,283.4113461979,283.4184870945,0.0071408966,18.075,291.075,7.6565129055,440.225,0.9333333333,94.3225,59.26666667
,2018-05-19 11:00,283.3428239286,283.3464878594,0.0036639308,17.6583333333,290.6583333333,7.3118454739,232.7,0.9333333333,94.3166666667,65.3
,2018-05-19 12:00,283.8797050123,283.8845850543,0.004880042,18.225,291.225,7.3404149457,304.725,0.7666666667,94.2716666667,65.24166667
,2018-05-19 13:00,284.3696367992,284.3755938057,0.0059570065,19.1583333333,292.1583333333,7.7827395276,460.0583333333,1.05,94.2325,69.74166667
,2018-05-19 14:00,284.7703184208,284.7741584281,0.0038400074,18.275,291.275,6.5008415719,181.575,0.5416666667,94.2558333333,79.03333333
,2018-05-19 15:00,283.6752246003,283.6797181759,0.0044935755,16.1333333333,289.1333333333,5.4536151575,143.7333333333,0.4083333333,94.2633333333,96.24166667
,2018-05-19 16:00,284.8930122151,284.9050886646,0.0120764494,17.4083333333,290.4083333333,5.5032446687,293.725,0.275,94.26,98.30833333
,2018-05-19 17:00,284.4164384898,284.4225578202,0.0061193305,16.175,289.175,4.7524421798,70.0333333333,0.1416666667,94.2316666667,99.08333333
,2018-05-19 18:00,284.4597746173,284.4628574592,0.0030828419,14.725,287.725,3.2621425408,27.1666666667,0.2666666667,94.2433333333,100.16666667
,2018-05-19 19:00,284.7826995802,284.7828323691,0.0001327889,12.3583333333,285.3583333333,0.5755009642,0.3,0.1416666667,94.3166666667,101.13333333
,2018-05-19 20:00,284.7916666667,284.5335559631,-0.2581107036,11.7916666667,284.7916666667,0.2581107036,0,0.2333333333,94.3333333333,101.44166667
,2018-05-19 21:00,283.9333333333,283.7943631914,-0.1389701419,10.9333333333,283.9333333333,0.1389701419,0,0.1333333333,94.3625,101.73333333
,2018-05-19 22:00,283.3,283.3251245875,0.0251245875,10.3,283.3,-0.0251245875,0,0.0333333333,94.3733333333,102.2
,2018-05-19 23:00,282.8416666667,283.0120882356,0.1704215689,9.8416666667,282.8416666667,-0.1704215689,0,0.0833333333,94.3766666667,102.41666667
,2018-05-20 00:00,282.4,282.6160026421,0.2160026421,9.4,282.4,-0.2160026421,0,0.05,94.3816666667,102.4
,2018-05-20 01:00,282.1666666667,282.4259659779,0.2592993112,9.1666666667,282.1666666667,-0.2592993112,0,0.0583333333,94.375,102.39166667
,2018-05-20 02:00,282.2583333333,282.5877314935,0.3293981602,9.2583333333,282.2583333333,-0.3293981602,0,0.075,94.3541666667,101.29166667
,2018-05-20 03:00,282.5083333333,282.8709674282,0.3626340949,9.5083333333,282.5083333333,-0.3626340949,0,0.1333333333,94.34,97.875
,2018-05-20 04:00,282.6333333333,282.9938673918,0.3605340585,9.6333333333,282.6333333333,-0.3605340585,0.15,0.2,94.3516666667,86.26666667
,2018-05-20 05:00,283.3720847609,283.4181006819,0.046015921,10.0083333333,283.0083333333,-0.4097673486,24.4083333333,0.0583333333,94.3983333333,72.75833333
,2018-05-20 06:00,288.362867965,311.3119722961,22.9491043312,11.3833333333,284.3833333333,-26.9286389628,103.7583333333,0,94.4266666667,72.60833333
,2018-05-20 07:00,291.4860052496,315.5689405265,24.0829352769,13.5166666667,286.5166666667,-29.0522738598,203.7083333333,0,94.4183333333,88.51666667
,2018-05-20 08:00,286.2206513189,286.2321698312,0.0115185123,15.3666666667,288.3666666667,2.1344968355,228.7333333333,0.2833333333,94.3958333333,80.575
,2018-05-20 09:00,284.6392163518,284.645173407,0.0059570552,15.9166666667,288.9166666667,4.2714932597,173.4833333333,0.3833333333,94.3816666667,82.25
,2018-05-20 10:00,285.0526214733,285.0570459836,0.0044245103,16.3666666667,289.3666666667,4.3096206831,132.7416666667,0.3083333333,94.3941666667,85.9
,2018-05-20 11:00,284.9999068116,285.0048604208,0.0049536092,13.775,286.775,1.7701395792,227.975,0.7583333333,94.4158333333,84.35833333
,2018-05-20 12:00,285.7949922874,285.8052548569,0.0102625695,15.8416666667,288.8416666667,3.0364118098,359.5,0.3083333333,94.3633333333,83.51666667
,2018-05-20 13:00,286.9247365721,286.9324817405,0.0077451684,16.725,289.725,2.7925182595,220.4916666667,0.2,94.34,88.73333333
,2018-05-20 14:00,286.5313129322,286.5362570474,0.0049441152,15.7416666667,288.7416666667,2.2054096193,196.525,0.5,94.3125,88.11666667
,2018-05-20 15:00,286.4616401062,286.4680692117,0.0064291055,15.9166666667,288.9166666667,2.448597455,202.025,0.3833333333,94.2683333333,89.875
,2018-05-20 16:00,286.8360287849,286.8434777451,0.0074489602,16.4333333333,289.4333333333,2.5898555882,224.15,0.475,94.2283333333,95.525
,2018-05-20 17:00,286.6140046168,286.6185388024,0.0045341856,15.375,288.375,1.7564611976,63.4833333333,0.2333333333,94.1916666667,97.20833333
,2018-05-20 18:00,285.3896467435,285.3918099923,0.0021632488,14.2333333333,287.2333333333,1.841523341,18.1666666667,0.275,94.2191666667,98.59166667
,2018-05-20 19:00,284.5985316079,284.5994131553,0.0008815474,13.1583333333,286.1583333333,1.558920178,2.4416666667,0.1833333333,94.26,98.23333333
,2018-05-20 20:00,285.8416666667,285.1536144417,-0.688052225,12.8416666667,285.8416666667,0.688052225,0,0.4416666667,94.3858333333,100.88333333
,2018-05-20 21:00,285.3083333333,284.8807691781,-0.4275641552,12.3083333333,285.3083333333,0.4275641552,0,0.3166666667,94.4475,101.55
,2018-05-20 22:00,284.7583333333,284.54350775,-0.2148255833,11.7583333333,284.7583333333,0.2148255833,0,0.225,94.4258333333,101.675
,2018-05-20 23:00,284.4666666667,284.1977157814,-0.2689508853,11.4666666667,284.4666666667,0.2689508853,0,0.2916666667,94.4383333333,101.70833333
,2018-05-21 00:00,284.0833333333,284.2173025522,0.1339692189,11.0833333333,284.0833333333,-0.1339692189,0,0.05,94.41,101.84166667
,2018-05-21 01:00,284.0166666667,284.2517747645,0.2351080978,11.0166666667,284.0166666667,-0.2351080978,0,0.1166666667,94.3833333333,102.4
,2018-05-21 02:00,284.1583333333,284.4127136311,0.2543802978,11.1583333333,284.1583333333,-0.2543802978,0,0.175,94.3808333333,101.50833333
,2018-05-21 03:00,283.9833333333,284.2424618224,0.2591284891,10.9833333333,283.9833333333,-0.2591284891,0,0.1916666667,94.3425,98.95
,2018-05-21 04:00,283.7083333333,283.9868453509,0.2785120176,10.7083333333,283.7083333333,-0.2785120176,0,0.0416666667,94.335,91.48333333
,2018-05-21 05:00,284.2093390595,284.2693000243,0.0599609648,10.8416666667,283.8416666667,-0.4276333576,30.0583333333,0.0416666667,94.3416666667,89.21666667
